Amplitude - Plot 0,Amplitude - Plot 1
16.3888,-0.393092
25.1014,0.541253
32.0492,1.19977
28.3422,-1.7003
24.0395,-1.47211
30.4709,0.912938
33.0267,1.69225
31.3163,2.33146
31.6762,0.59951
30.4698,3.28703
32.6994,3.28323
33.7331,3.78574
33.6705,2.88472
33.0366,3.84528
19.2401,5.47489
37.0474,4.21084
20.2326,3.03693
17.6358,3.598
17.2738,2.89872
10.3847,3.70137
1.23557,1.40307
-13.0736,3.48965
-3.28151,1.17245
-12.7216,1.59569
-13.8706,0.132939
-20.4452,1.33076
-22.8493,1.16007
-38.1966,-2.06258
-27.7307,-1.3646
-27.26,-2.40445
-23.709,-2.04564
-30.0369,-2.18297
-40.9789,-0.788303
-38.806,-1.06221
-42.9737,-3.28719
-39.1731,-4.23468
-37.3657,-4.64804
-22.4058,-2.21588
-33.7721,-5.29677
-33.2949,-6.25344
-22.4149,-6.0521
-22.4446,-6.62911
-16.5261,-6.15417
-14.6399,-6.97222
-6.35036,-3.8945
0.418458,-4.86737
0.243894,-3.02407
-4.62176,-2.12133
7.51092,-4.26556
7.53516,-1.75479
27.9731,-1.4828
26.2535,-2.18171
26.7941,0.422802
35.6852,-1.05306
30.7056,1.15404
33.5793,1.17516
